name,description,phone_number,address,access,business_hours,homepage,holiday,genre
稲荷茶寮,伏見稲荷大社の休憩所【啼鳥菴（ていちょうあん）】内に設けられた日本茶カフェ。鳥居の飾りが乗っている抹茶パフェが食べられる。他にぜんざい、かき氷も楽しめる。,075-286-3631,〒612-0805 京都府京都市伏見区深草藪之内町６８ 伏見稲荷大社啼鳥菴内,JR奈良線「稲荷駅」から徒歩約5分京阪電車「伏見稲荷駅」から徒歩約10分,11:00~16:00(L.O.15:30),https://tsubakido.kyoto/inarisaryo/,水曜日（祝日の場合営業）,パフェ ぜんざい かき氷
伊藤久右衛門 宇治本店・茶房,天保3年創業、白い暖簾をくぐるとお茶の香りが広がる。伝統の石臼挽き抹茶を贅沢に使用した「伊藤久右衛門パフェ」をはじめ、季節ごとに限定抹茶パフェやプレートが食べられる。他にもぜんざい、アイス、あんみつなどが楽しめる。かき氷、くず湯は季節限定。,0774-23-3955,〒611-0013 京都府宇治市莵道荒槇１９−３,京阪宇治線「宇治駅」から徒歩約5分JR奈良線「宇治駅」から徒歩約15分,平日：10:00~17:30(L.O.17:00) 土日：10:00~18:00(L.O.17:30),https://www.itohkyuemon.co.jp/,なし（元日を除く）,パフェ プレート ぜんざい かき氷 あんみつ アイスクリーム
伊藤久右衛門 祇園四条店・茶房,天保3年創業、白い暖簾をくぐるとお茶の香りが広がる。伝統の石臼挽き抹茶を贅沢に使用した「伊藤久右衛門パフェ」をはじめ、季節ごとに限定抹茶パフェやプレートが食べられる。他にもぜんざい、アイス、あんみつなどが楽しめる。かき氷、くず湯は季節限定。,075-741-8096,〒605-0074 京都府京都市東山区祇園町南側５８６,京阪電鉄「祇園四条駅」6番出口より徒歩1分阪急電鉄「河原町駅」1番出口より徒歩約4分,平日：11:00~17:00(L.O.16:30) 土日：11:00~17:30(L.O.17:00),https://www.itohkyuemon.co.jp/,なし（元日を除く）,パフェ プレート ぜんざい かき氷 あんみつ アイスクリーム
茶寮翠泉  高辻本店,『吟味した宇治抹茶だけがもつ高貴な翠の色、香り、味わいを』をコンセプトにしている京都発・宇治抹茶の本格和カフェ・スイーツ店。拘りの抹茶わらび餅やパフェが食べられる。,075-278-0111,〒600-8098 京都市下京区高辻通東洞院東入稲荷町521番地 京都高辻ビル1階,地下鉄烏丸線 「四条駅」5番出口より徒歩5分,10:30～18:00（L.O.17:30）,https://saryo-suisen.com/,不定休,パフェ ぷるぷるスイーツ ケーキ ドリンク
茶寮翠泉 烏丸御池店,『吟味した宇治抹茶だけがもつ高貴な翠の色、香り、味わいを』をコンセプトにしている京都発・宇治抹茶の本格和カフェ・スイーツ店。拘りの抹茶わらび餅やパフェが食べられる。,075-221-7010,〒604-0846 京都市中京区両替町通押小路上ル金吹町461番地 烏丸御池メディカルモール1階,地下鉄烏丸線 「烏丸御池駅」2番出口より徒歩5分,10:30～18:00（L.O.17:30）,https://saryo-suisen.com/,不定休,パフェ ぷるぷるスイーツ ケーキ ドリンク
抹茶共和国 Matcha Republic 宇治本店,お洒落なインク瓶に入った抹茶ドリンクを飲むことが出来るお店。自社の高品質な宇治産一番茶を石臼で挽いた宇治抹茶と、生乳１００%の北海道牛乳等を使用し、素材にもこだわったドリンクになっている。,0774-39-8996,〒611-0021 京都府宇治市宇治妙楽２６−２,JR「宇治駅」南口から徒歩4分,10:00~18:00,https://www.matcha-republic.com/,なし,ドリンク ぷるぷるスイーツ アイスクリーム ケーキ
抹茶共和国 Matcha Republic 京都タワーサンド店,お洒落なインク瓶に入った抹茶ドリンクを飲むことが出来るお店。自社の高品質な宇治産一番茶を石臼で挽いた宇治抹茶と、生乳１００%の北海道牛乳等を使用し、素材にもこだわったドリンクになっている。,075-352-0818,〒600-8216 京都府京都市下京区東塩小路町７２１−１1F,JR「京都駅」から徒歩1分,当面の間 : 10:30~20:30 ,https://www.matcha-republic.com/,なし,ドリンク ぷるぷるスイーツ アイスクリーム
京都北山マールブランシュ 京都タワーサンド店,お濃茶ラングドシャ「茶の菓」を売っている洋菓子店のカフェ。こちらでは京都タワーサンド店限定の、『生茶の菓アイスバー』が食べられる。,075-353-4567,京都府京都市下京区烏丸通七条下る東塩小路町721番地1 京都タワーサンド1F,JR「京都駅」から徒歩1分,当面の間 : 10:30~20:30 ,https://www.malebranche.co.jp/,なし,アイスクリーム
金の百合亭,八坂神社石段下にある。ロッシーニのオペラ「ランスへの旅」の舞台となった宿の名前から付けられた喫茶店。月ごとに変わる拘りの抹茶パフェが食べられる。,075-531-5922,〒605-0073 京都府東山区祇園町北側 292-2 2階,阪急電鉄「河原町駅」1番出口から徒歩8分京阪本線「祇園四条駅」7番出口から八坂神社に向かって徒歩5分,11:00〜17:30,https://kinnoyuritei.com/,水曜日、木曜日,パフェ ドリンク ケーキ ぷるぷるスイーツ
MICASADECO&CAFE KYOTO,テーマは”アート×ミカサデコ”。築100年以上の京町家とモダンなインテリアデザインをミックスしたお洒落なお店。ふわふわの食感のパンケーキに、京都宇治の老舗茶問屋「北川半兵衛商店」 の抹茶を使用した、パンケーキは京都店でしか味わえない。,075-606-5307,〒604-8057 京都府京都市中京区梅屋町(麸屋町通)480,阪急京都本線京都「河原町駅」11番出口より徒歩約5分京阪本線祇園「四条駅」4番出口より徒歩約14分,平日 11:00-17:00(L.O.16:30)土日祝11:00-18:00(L.O.17:30),http://micasadecoandcafe.com/kyoto/,12/31（金）～ 1/3（水）,パンケーキ
茶匠清水一芳園 京都本店,一九四五年創業の茶専門問屋のカフェ。高級抹茶をふんだんに使用した、抹茶のエスプーマが乗ったかき氷やパフェが楽しめる。,075-202-7964,〒605-0963 京都府京都市東山区本瓦町665,京阪本線「七条駅」より七条通を東へ徒歩9分,※当面の間 11:00〜16:30(LO),https://ippoen.co.jp/shop,月曜(但し祝日営業)、年末年始,パフェ かき氷
『MACCHA HOUSE抹茶館』日本本店,シンガポールや香港など、アジアを中心に展開する抹茶スイーツ専門店。日本に逆輸入された。歴史のある京都「森半」の抹茶を使用している。枡に入ったフォトジェニックな抹茶ティラミスが食べられる。,075-253-1540,〒604-8026 京都府京都市中京区河原町通四条上ル米屋町382‐2,阪急電鉄「河原町駅」より北へ徒歩2分,月-木・日・祝日 10:00-21:00(LO/20:30) 金・土・祝前日 10:00-22:00(LO/21:30),https://www.create-restaurants.co.jp/shop/index.php?controller=FrontCrShop&action=shop_show&id=1106,なし,ティラミス パフェ アイスクリーム ドリンク
『MACCHA HOUSE抹茶館』日本6号店,シンガポールや香港など、アジアを中心に展開する抹茶スイーツ専門店。日本に逆輸入された。歴史のある京都「森半」の抹茶を使用している。枡に入ったフォトジェニックな抹茶ティラミスが食べられる。,075-532-5630,〒605-0862 京都府京都市東山区清水3丁目337,京阪本線 「祇園四条駅」 徒歩13分京阪本線 「清水五条駅」 徒歩14分,9：00～20：00（LO19：30）,https://www.create-restaurants.co.jp/shop/index.php?controller=FrontCrShop&action=shop_show&id=1675,なし,ティラミス パフェ アイスクリーム ドリンク
ななや 京都三条店,1907年に茶処、静岡で創業した［丸七製茶］によるスイーツ店。独自製法のチョコレートや、抹茶やほうじ茶、フルーツを使ったジェラートなどが楽しめる。特に世界で一番濃い抹茶ジェラートが有名。,075-251-7780,〒604-8103 京都府京都市中京区 三条上ル油屋町92-1 グランドソレーユ,地下鉄烏丸線 「烏丸御池駅」3-1番出口より徒歩6分,10:00～18:00,https://nanaya-matcha.com/,毎月第一火曜日（祝日の場合は営業）,アイスクリーム
雪ノ下京都本店,素材にこだわった絶品スイーツが頂ける有名店。20分以上かけて焼き上げる厚みのとてもある贅沢な抹茶パンケーキが食べられる。添えられている黒豆と抹茶ソースがまた美味しい。,075-285-0150,〒604-8251 京都市中京区三条油小路町１４５－１,地下鉄「烏丸御池駅」 から徒歩8分地下鉄「二条城前駅」 から徒歩8分,11:00～18:00 Lo17:00,http://yukinositakyoto.net/,不定休,パンケーキ
Eggs ’n Things 京都四条店,1974年にハワイで誕生して以来、地元の人々はもちろん、ハワイを訪れる世界中の旅行客にとって人気のカジュアルレストラン。京都四条店では『京都限定 宇治抹茶パンケーキ』が食べられる。,075-353-5009,〒600-8091 京都府京都市下京区元悪王子町４７−４,地下鉄烏丸線「四条駅」より徒歩5分阪急京都線「烏丸駅」より徒歩5分,9:00～20:00（L.O. FOOD 19:00 / DRINK 19:30）,https://www.eggsnthingsjapan.com/kyoto/,不定休,パンケーキ
焼き窯抹茶 スイーツ茶筅,作りたてでしか味わえない、新感覚のスイーツ専門店。和のテイストを加えた『ひんやり熱々とろけるスイーツ』を季節に合わせて提供する。お抹茶・玉手箱スイーツが一番人気。,075-352-3401,〒600-8216 京都府京都市下京区東塩小路町９０１ 京都駅ビル 10階 京都拉麺小路内,JR「京都駅」から徒歩1分,11:00〜22:00 (L.O. 21:30),https://kyoto-chasen.shopinfo.jp/,不定休,プレート パフェ ティラミス ぷるぷるスイーツ アイスクリーム かき氷
辻利兵衛本店 宇治本店茶寮,江戸時代からお茶問屋を営む。お茶の濃厚な旨味や香ばしさを味わえるパフェやゼリーなどのスイーツや、お濃茶などを庭を見ながら楽しめる。,0774-29-9021,〒611-0021 京都府宇治市宇治若森４１,JR「宇治駅」より徒歩6分京阪「宇治駅」徒歩17分,10：00〜18：00（ラストオーダー17:00）,http://www.tsujirihei.co.jp/,火曜日,パフェ ぜんざい ケーキ ぷるぷるスイーツ
KITANO LAB,全国の農家を訪ねこだわりの素材を扱うコンフィチュールの専門店。だが抹茶パフェも専門店顔負けの美味しさと評判。宇治茶の産地、和束町の農家から直接仕入れる抹茶を使用した抹茶パフェが食べられる。,075-496-8777,〒602-8386 京都市上京区御前通一条上る馬喰町914番地,京福電気鉄道（嵐電）「北野白梅町駅」から徒歩5分,12:00-18:00,https://kitano-lab.com/index.html,月・火曜(祝日の場合は営業),パフェ
無碍山房 Salon de Muge,ミシュラン店「菊乃井」の味を気軽に味わえるよう作った喫茶店。苔と新緑が美しいお庭を眺むカウンター席で、最高の宇治抹茶を使用した濃い抹茶パフェが味わえる。,075-744-6260,〒605-0825 京都府京都市東山区鷲尾町５２４,京阪「祇園四条駅」から徒歩約15分市バス「祇園」停留所から徒歩約10分,11:30pm - 17:00pm,https://kikunoi.jp/kikunoiweb/Muge/index,第一、第三火曜日定休日 (年末･年始休みあり),パフェ
FUKUNAGA 901,旬のフルーツを贅沢に使用したスイーツや、オリジナルブレンドのハーブティーなどが楽しめる。抹茶を盆栽に見立てた抹茶パフェは1日10食限定。,075-342-0082,〒600-8216 京都府京都市下京区東塩小路町901番地 京都駅ビル内 8F,JR「京都駅」から徒歩1分,10:00～19:30 (L.O),https://fukunaga294.jp/,年末年始,パフェ
丸久小山園 西洞院店 茶房「元庵」,元禄年間に創業した日本茶専門店が営む茶房。抹茶アイスクリームやお抹茶、夏は抹茶かき氷、冬は抹茶ぜんざいが味わえる。,075-223-0909,〒604-8277 京都府京都市中京区西洞院通御池下ル西側,地下鉄「烏丸御池駅」4-1番出口より約500m 徒歩6分地下鉄「二条城前駅」2番出口より約500m 徒歩6分京都市営バス（9・12・15・50・101系統）「堀川御池」バス停より約400m 徒歩5分,10:30〜17:00（ラストオーダー）,https://www.marukyu-koyamaen.co.jp/motoan.html,毎週水曜日（祝営業）、正月三箇日,アイスクリーム かき氷 ぜんざい
ぎをん小森,伝統的な京町家の保存地域にある甘味処。白川のせせらぎや景色を味わいながら、数種類の抹茶パフェやわらび餅、あんみつなどが食べられる。,075-561-0504,〒605-0087 京都府京都市東山区元吉町６１,京阪本線「祇園四条」駅(９番出口)から徒歩4分阪急京都本線「河原町」駅(１A出口)から徒歩8分,11:00～20:00(L.O.19:30),http://www.giwon-komori.com/,水曜日(祝日の場合は営業)、不定休(SNSにて告知),パフェ ぷるぷるスイーツ あんみつ
パパジョンズ今出川本店,京都で初めてニューヨークチーズケーキを紹介した、本場ニューヨーク仕込みのチーズケーキ専門店。カフェでは抹茶ホワイトチーズケーキが食べられる。,075-415-2655,〒602-0898 京都府京都市上京区相国寺門前町６４２−４ コーポマルス 1F,京都市営地下鉄「今出川駅」から徒歩3分,11:00am-7:00pm（ラストオーダー6:00pm）,http://papajons.net/html/page8.html,火曜日,ケーキ
パパジョンズ 六角店,京都で初めてニューヨークチーズケーキを紹介した、本場ニューヨーク仕込みのチーズケーキ専門店。カフェでは抹茶ホワイトチーズケーキが食べられる。,075-211-1600,〒604-8117 京都府京都市中京区堀之上町１１５,地下鉄烏丸線 「四条駅」 徒歩8分地下鉄烏丸線 「烏丸御池駅」 徒歩5分阪急京都線 「烏丸駅」 徒歩8分,平日／11:00am-7:00pm 土・日・祝日／10：00～7：00pm（ラストオーダー6:00pm）,http://papajons.net/html/page31.html,火曜日,ケーキ
TEA ROOM KIKI 紅茶 & スコーン専門店 京都・嵐山本店,美味しい紅茶と自家製の英国伝統菓子・スコーンやケーキが食べられる。郵便局だった建物をリノベーションしている。嵐山店限定で抹茶ミルクジャムが楽しめる。,075-432-7385,〒616-8373 京都市右京区嵯峨天龍寺車道町1,ＪＲ「嵯峨嵐山駅」から徒歩約２分阪急「嵐山駅」から徒歩約１６分,10:30-18:00(L.O.16:30),https://lworld.co.jp/kiki_arashiyama/,不定休,アフタヌーンティー
スフレ＆カフェコーナー茶庭,注文後に焼き上げるスフレ専門店。季節限定含めて6~7種が置いてある。記事に抹茶を練り込んだスフレに、抹茶＆あんこソースをかけて食べることができる。,075（751）6171,〒606-8341 京都市左京区岡崎西天王町71,地下鉄東西線「東山」駅から徒歩１５分市バス「岡崎公園美術館・平安神宮前」もしくは「熊野神社前」から徒歩５分,14:00～17:00,https://www.rokusei.co.jp/?men=4,月曜日（祝日の場合は振替）12月26日〜1月1日はお休み,スフレ
Cafe冨月,夜は一見さんお断り。祇園花街のお茶屋さんの昼間だけ開かれる甘味処。手前がカウンター、奥は坪庭を望む座敷とかなり広い間取りになっている。お豆腐を使用した抹茶チーズケーキが食べられる。,075-561-5937,〒605-0074 京都府京都市東山区祇園町南側５７０−８,京阪「祇園四条駅」から徒歩約6分,10:00～17:00,https://www.instagram.com/gion.cafefu_getsu/?hl=ja,第1第3月曜日,ケーキ
東山茶寮,上質な本物の宇治茶をふんだんに使用し、素晴らしい風味を楽しめる宇治茶専門の甘味処。抹茶づくしのセットやパフェ、あんみつなどが楽しめる。,075-532-0873,〒605-0846 京都府京都市東山区五条橋東４丁目４４８,京阪本線「清水五条駅」下車 徒歩約7分,11:00～17:00(L.O.16:30),https://www.kyo-ohana.com/,水曜日,プレート パフェ あんみつ
TEO KAFON,日本の喫茶文化と海外のカフェ文化の融合”をコンセプトに作られた、抹茶にフォーカスした新感覚のカフェ。オリジナル抹茶を5つの味で楽しめる抹茶スイーツプレートが味わえる。,075-223-1400,〒604-8035 京都府京都市中京区桜之町４４７,京都本線「河原町駅」徒歩5分地下鉄東西線「京都市役所前駅」徒歩8分地下鉄東西線、京阪本線「三条駅」徒歩8分,11:00～18:00(L.O.17:30),https://www.instagram.com/teokafon/,火曜日,プレート
けずりひや京都祇園,新雪のようにさらさらな食感の氷をベースに、厳選された京都のお抹茶やほうじ茶を食べる、新感覚の京都氷菓のお店。,075-541-2650,〒605-0074 京都市東山区祇園町南側555番地 アパホテル京都祇園エクセレント地下1階,京阪「祇園四条駅」から徒歩約6分,[通常] 12:30 - 17:30 (L.O.17:00) [夏期] 11:00 - 18:30 (L.O.18:00),http://kezurihiya.com/,なし,かき氷
甘党茶屋 梅園 三条寺町店,甘味処・梅園のプロデュース。洋館のような空間で多彩な和スイーツが楽しめる。宇治ひやしぜんざい、クリームぜんざい、かき氷、あんみつなどが味わえる。,075-211-1235,〒604-8081 京都府京都市中京区天性寺前町５２６,地下鉄東西線「京都市役所前駅」徒歩１０分,10:30 ～ 19:30（LO 19:20）,https://umezono-kyoto.com/sanjo/,なし,ぜんざい あんみつ かき氷
うめぞの茶房,甘味処・梅園のプロデュース。西陣に立つ築100年の町屋を改造。餡や寒天、わらび粉をベースにしたかざり羹「抹茶」を食べられる。,075-432-5088,〒603-8223 京都府京都市北区紫野東藤ノ森町１１−１,京都市バス「大徳寺前」停留所より徒歩約5分京都市バス「堀川鞍馬口」停留所より徒歩約7分地下鉄烏丸線「鞍馬口」駅から徒歩約17分,12:15-18:00(17:30L.O.),https://umezono-kyoto.com/nishijin/,不定休,ぷるぷるスイーツ
うめぞのCAFE&GARALLEY,甘味処・梅園のプロデュース。町屋を改装した店内はナチュラルな雰囲気。箸で食べられる程柔らかい抹茶ホットケーキが楽しめる。,075-241-0577,〒604-8215 京都府京都市中京区不動町１８０,京都市営地下鉄「四条駅」、阪急京都線「烏丸駅」下車徒歩７分,11:30-19:00(18:30L.O.),https://umezono-kyoto.com/cafe/,年中無休,パンケーキ
梅香堂,昭和28年創業、地域に愛される甘味処。可愛い手描きのイラストで書かれたメニューは40種類以上。手作りの抹茶ゼリーが主役の「小倉抹茶ゼリーパフェ」が食べられる。,075-561-3256,〒605-0952 京都府京都市東山区今熊野宝蔵町６,京都市営バス「今熊野」停留所からすぐJR奈良線、京阪本線「東福寺駅」から徒歩10分,10:00～18:00 (L.O.17:30),https://twitter.com/baikoudo,火曜日 (祝日の場合は翌日),パフェ
Salon de KANBAYASHI 上林春松本店,創業４５０年の京都宇治の老舗茶舗・上林春松本店が選定した玉露と煎茶を、実際にお客様が急須で淹れて愉しめるサロン。パティシエ手作りの抹茶ガトーショコラやアフタヌーンティーが味わえる。,075-551-3633,〒605-0828 京都市東山区下河原通高台寺塔之前上る 金園町400番1 AKAGANE RESORT KYOTO HIGASHIYAMA 1925内,京阪電鉄「祇園四条駅」より徒歩12分阪急電鉄京都線「河原町駅」より徒歩15分,11:30-17:00,https://www.salondekanbayashi.com/,定休日：火曜日・土日祝不定休,アフタヌーンティー ケーキ
